model,year,price,transmission,mileage,fuelType,mpg,engineSize
3 Series,2015,13295,Automatic,76720,Diesel,51.4,3
2 Series,2019,23995,Semi-Auto,2279,Diesel,65.7,2
X1,2019,25999,Semi-Auto,2974,Diesel,60.1,2
M5,2014,23490,Automatic,55241,Petrol,28.5,4.4
X5,2019,46440,Semi-Auto,1438,Diesel,37.7,3
4 Series,2016,17580,Semi-Auto,29387,Petrol,44.8,2
X7,2019,67950,Automatic,15000,Diesel,31.4,3
X5,2012,12990,Automatic,92000,Diesel,38.2,3
3 Series,2016,13500,Manual,45799,Diesel,64.2,2
1 Series,2017,11700,Automatic,69643,Diesel,62.8,2
1 Series,2017,11100,Manual,28507,Diesel,72.4,1.5
3 Series,2015,13960,Automatic,33330,Diesel,60.1,2
X5,2018,44990,Semi-Auto,5321,Diesel,36.7,3
1 Series,2015,9490,Manual,43000,Diesel,65.7,2
3 Series,2013,10298,Semi-Auto,51645,Diesel,62.8,2
2 Series,2017,11800,Manual,31601,Diesel,74.3,1.5
1 Series,2016,15700,Manual,19732,Diesel,62.8,2
5 Series,2012,9800,Manual,73350,Diesel,57.6,2
3 Series,2016,18191,Semi-Auto,38882,Hybrid,134.5,2
3 Series,2010,5999,Automatic,118000,Petrol,35.8,3
2 Series,2015,10500,Automatic,44056,Petrol,55.4,1.5
X1,2017,18998,Semi-Auto,28686,Diesel,57.6,2
3 Series,2019,31995,Automatic,999,Petrol,42.2,2
3 Series,2018,16950,Semi-Auto,27641,Diesel,65.7,2
3 Series,2014,13350,Automatic,42686,Diesel,60.1,2
5 Series,2017,22695,Semi-Auto,14563,Diesel,65.7,2
3 Series,2019,27275,Manual,3377,Diesel,54.3,2
1 Series,2016,12100,Automatic,25786,Diesel,74.3,2
5 Series,2019,26350,Semi-Auto,8324,Diesel,65.7,2
5 Series,2019,34995,Semi-Auto,7450,Hybrid,156.9,2
X5,2017,27500,Automatic,9748,Diesel,47.9,3
2 Series,2016,13400,Manual,35437,Diesel,64.2,2
3 Series,2016,15510,Semi-Auto,40417,Diesel,60.1,2
X2,2019,29960,Semi-Auto,6321,Diesel,58.9,2
3 Series,2013,10998,Manual,72315,Diesel,61.4,2
5 Series,2017,21850,Automatic,33000,Diesel,65.7,2
4 Series,2019,28980,Automatic,6558,Diesel,53.3,3
2 Series,2019,22980,Automatic,15,Petrol,53.3,1.5
2 Series,2019,21730,Automatic,5054,Petrol,39.2,1.5
3 Series,2016,16500,Automatic,38438,Other,134.5,2
X2,2019,24998,Manual,4174,Diesel,48.7,2
1 Series,2019,19950,Semi-Auto,11686,Diesel,48.7,2
X5,2019,51990,Semi-Auto,12,Diesel,37.7,3
X1,2017,19981,Semi-Auto,32286,Diesel,55.4,2
5 Series,2016,13795,Automatic,65251,Diesel,60.1,2
3 Series,2019,26450,Semi-Auto,2754,Diesel,52.3,2
1 Series,2020,23980,Semi-Auto,1500,Petrol,40.4,1.5
1 Series,2017,21901,Semi-Auto,4775,Petrol,39.8,3
2 Series,2016,12150,Manual,57417,Petrol,50.4,1.5
4 Series,2015,17495,Semi-Auto,12836,Diesel,65.7,2
3 Series,2018,22995,Semi-Auto,8259,Petrol,48.7,2
4 Series,2014,15050,Semi-Auto,26973,Diesel,60.1,2
1 Series,2017,20995,Semi-Auto,22000,Petrol,39.8,3
X1,2018,22995,Automatic,12848,Petrol,44.8,2
1 Series,2017,21995,Semi-Auto,15948,Petrol,39.8,3
4 Series,2017,19440,Semi-Auto,19025,Diesel,60.1,2
1 Series,2014,17292,Semi-Auto,35481,Petrol,37.7,3
X5,2019,49998,Semi-Auto,7101,Diesel,37.7,3
5 Series,2017,16850,Automatic,30379,Diesel,60.1,2
2 Series,2019,20490,Semi-Auto,8171,Diesel,51.4,2
2 Series,2019,19880,Semi-Auto,7916,Diesel,51.4,2
2 Series,2017,14750,Automatic,10000,Petrol,55.4,1.5
X2,2019,29950,Automatic,4300,Petrol,39.2,2
X1,2016,18990,Automatic,18604,Diesel,55.4,2
X3,2016,24950,Semi-Auto,30205,Diesel,47.1,3
X5,2016,34498,Automatic,17303,Hybrid,85.6,2
3 Series,2017,14999,Automatic,78446,Hybrid,134.5,2
2 Series,2015,15980,Semi-Auto,41532,Diesel,61.4,2
3 Series,2017,18908,Semi-Auto,34134,Diesel,53.3,3
1 Series,2019,14950,Manual,14735,Diesel,78.5,1.5
X1,2017,20685,Automatic,19116,Diesel,57.6,2
1 Series,2013,8000,Manual,50000,Petrol,49.6,1.6
4 Series,2017,17500,Manual,39256,Diesel,62.8,2
4 Series,2019,22810,Automatic,5984,Petrol,48.7,2
4 Series,2018,22440,Semi-Auto,18501,Petrol,48.7,2
1 Series,2016,12498,Manual,22103,Diesel,72.4,1.5
1 Series,2019,23500,Semi-Auto,11128,Petrol,39.8,3
3 Series,2017,16745,Automatic,50000,Other,148.7,2
5 Series,2018,27750,Automatic,24460,Diesel,60.1,3
2 Series,2019,21097,Semi-Auto,7947,Diesel,47.1,2
X7,2020,64999,Semi-Auto,4000,Diesel,33.6,3
X1,2016,14999,Manual,26436,Diesel,68.9,2
2 Series,2019,22995,Manual,10,Petrol,42.8,1.5
1 Series,2017,16995,Semi-Auto,23426,Petrol,47.9,2
6 Series,2017,23750,Automatic,25338,Diesel,49.6,3
3 Series,2019,35490,Semi-Auto,10130,Diesel,44.1,3
1 Series,2019,19999,Semi-Auto,16106,Diesel,67.3,2
1 Series,2017,20750,Semi-Auto,16977,Petrol,39.8,3
1 Series,2019,26990,Semi-Auto,3660,Petrol,40.4,1.5
5 Series,2019,31450,Automatic,13,Petrol,48.7,2
2 Series,2020,22980,Manual,10,Petrol,47.1,1.5
3 Series,2014,11750,Automatic,92000,Diesel,60.1,2
5 Series,2019,34990,Semi-Auto,1800,Petrol,47.9,2
2 Series,2017,16950,Semi-Auto,11569,Petrol,53.3,1.5
3 Series,2019,29888,Manual,2454,Diesel,54.3,2
